                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.821,                 2.5741,                 1.0398,                0.29775,                0.15505,                0.11397,                0.06061,                 1.8184,                 1.7052,                 1.0231,             0.00023675,             0.00023675,             0.00023675
                      2,                 1.6688,                 1.5749,                 0.9985,                0.24312,                0.20437,                0.16761,                0.09069,                 1.7214,                 1.4543,                0.98705,             0.00042775,             0.00042775,             0.00042775
                      3,                 1.6096,                 1.4347,                0.98196,                0.26254,                0.20899,                0.17671,                 0.0956,                 1.7124,                 1.4129,                0.98624,             0.00057163,             0.00057163,             0.00057163
                      4,                 1.5767,                 1.3585,                0.97545,                0.27167,                0.23833,                0.20218,                0.11028,                 1.6394,                 1.3345,                0.97869,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5492,                  1.294,                0.96722,                0.30284,                0.23869,                0.21173,                0.11829,                 1.6059,                 1.2966,                0.95895,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.5209,                 1.2408,                0.96058,                0.33252,                0.25879,                0.23292,                 0.1274,                 1.5692,                 1.2423,                0.96385,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.5038,                 1.2111,                0.95461,                0.31153,                 0.2463,                0.22383,                0.12693,                 1.5483,                 1.2307,                0.94938,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.4815,                 1.1767,                0.95069,                0.32159,                0.26185,                0.24137,                0.13675,                 1.5354,                 1.2111,                 0.9471,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.4607,                 1.1472,                0.94352,                 0.3486,                0.26794,                0.24694,                0.14234,                 1.5243,                 1.1835,                0.94306,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.4487,                 1.1277,                0.94065,                0.35909,                0.27231,                 0.2582,                0.14735,                 1.5012,                 1.1548,                 0.9422,             7.7826e-05,             7.7826e-05,             7.7826e-05
