                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7924,                 2.3524,                 1.0292,                0.29305,                0.18216,                0.13201,                0.07038,                 1.6977,                 1.5135,                0.99331,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6491,                 1.5436,                0.99108,                0.25675,                0.21054,                0.17608,                0.09674,                 1.6093,                 1.3487,                0.96712,             0.00042835,             0.00042835,             0.00042835
                      3,                 1.6001,                   1.42,                0.97789,                0.24858,                0.22232,                0.18432,                0.10084,                 1.6284,                 1.3655,                0.96657,             0.00057216,             0.00057216,             0.00057216
                      4,                  1.566,                 1.3417,                 0.9702,                0.27772,                0.23692,                0.20315,                0.11199,                 1.5866,                 1.3185,                0.96172,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5324,                 1.2739,                0.96054,                0.31298,                0.24934,                0.21868,                0.12367,                 1.5367,                 1.2302,                0.95254,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.5039,                  1.223,                0.95408,                0.33894,                0.25053,                0.23427,                 0.1294,                 1.5332,                 1.1893,                0.95406,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.4832,                 1.1862,                0.94664,                0.33747,                 0.2646,                0.24176,                0.13617,                 1.5014,                 1.1701,                0.94141,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.4649,                 1.1542,                0.94339,                0.33507,                0.26798,                0.24631,                0.13889,                 1.4904,                 1.1511,                0.94068,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.4482,                 1.1301,                0.93764,                0.34445,                0.27712,                0.25575,                0.14674,                 1.4659,                 1.1202,                0.93397,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.4307,                 1.1066,                0.93327,                0.35376,                0.27896,                0.25801,                0.14801,                 1.4559,                 1.1143,                0.93251,             7.7826e-05,             7.7826e-05,             7.7826e-05
