                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8079,                 2.3754,                 1.0365,                0.28576,                0.18362,                0.13401,                0.07166,                 1.6866,                 1.4824,                 0.9914,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6663,                 1.5743,                0.99794,                0.22896,                0.21143,                0.16018,                 0.0889,                 1.6444,                 1.3915,                0.97873,             0.00042835,             0.00042835,             0.00042835
                      3,                 1.6219,                 1.4474,                0.98728,                0.26832,                0.22798,                0.19004,                0.10614,                  1.613,                 1.3335,                0.96962,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.5835,                 1.3661,                0.97741,                0.27611,                0.23181,                0.20047,                0.11085,                 1.5876,                 1.2905,                0.95851,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5566,                 1.2994,                0.96924,                0.31461,                0.25434,                0.22476,                0.12841,                 1.5422,                  1.237,                0.95246,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.5217,                 1.2482,                0.96153,                0.32798,                0.24853,                0.22631,                0.12381,                 1.5551,                 1.2066,                0.96442,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.5041,                 1.2089,                0.95379,                0.33888,                0.25781,                 0.2408,                0.13607,                 1.4907,                 1.1716,                0.94084,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.4847,                 1.1776,                0.95118,                0.34506,                0.25617,                0.24183,                0.13814,                 1.4979,                 1.1607,                0.94494,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.4699,                 1.1533,                0.94615,                0.35522,                0.26731,                0.25149,                0.14343,                  1.478,                 1.1329,                0.93589,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.4535,                   1.13,                0.94019,                0.36788,                0.26642,                0.25669,                0.14763,                 1.4621,                 1.1167,                0.93349,             7.7826e-05,             7.7826e-05,             7.7826e-05
