                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7811,                 2.3418,                 1.0262,                0.28209,                0.18113,                0.13039,                0.07019,                 1.6929,                  1.539,                0.98648,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6308,                  1.525,                0.98537,                0.24883,                 0.2136,                0.17275,                0.09468,                 1.6078,                  1.353,                 0.9685,             0.00042835,             0.00042835,             0.00042835
                      3,                  1.584,                 1.3981,                0.97361,                0.26405,                0.22705,                0.19364,                0.10772,                 1.5969,                 1.3048,                 0.9684,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.5512,                 1.3201,                  0.964,                0.28724,                0.24444,                 0.2084,                0.11446,                 1.5792,                 1.2835,                 0.9634,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5155,                 1.2516,                0.95566,                0.31722,                0.25154,                0.22675,                0.12828,                  1.538,                 1.2158,                0.94964,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.4883,                 1.2066,                0.94758,                0.32289,                0.25787,                0.23092,                0.12685,                 1.5477,                 1.2148,                0.95441,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.4621,                 1.1681,                 0.9418,                0.33423,                0.26764,                 0.2406,                0.13587,                 1.4984,                 1.1765,                  0.946,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.4451,                 1.1356,                0.93689,                0.34736,                0.26287,                0.24524,                0.13937,                 1.4921,                 1.1493,                0.93966,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.4266,                 1.1084,                0.93021,                0.34563,                0.27289,                0.25367,                0.14523,                  1.466,                 1.1221,                0.93421,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.4111,                 1.0835,                0.92744,                0.34532,                0.28077,                 0.2592,                0.14779,                 1.4572,                 1.1157,                 0.9321,             7.7826e-05,             7.7826e-05,             7.7826e-05
