                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.81,                 2.2853,                 1.0404,                0.27936,                0.17793,                0.13351,                0.07054,                 1.6829,                 1.4844,                0.99263,             0.00023771,             0.00023771,             0.00023771
                      2,                 1.6793,                 1.5964,                 1.0007,                0.22771,                0.21355,                0.16399,                0.08926,                 1.6502,                 1.3984,                0.97066,             0.00042861,             0.00042861,             0.00042861
                      3,                 1.6362,                 1.4704,                0.98954,                0.28237,                0.21779,                0.18891,                0.10556,                 1.5932,                 1.3131,                0.96554,             0.00057239,             0.00057239,             0.00057239
                      4,                 1.6029,                 1.3814,                0.98015,                0.30173,                0.22455,                0.20333,                0.11329,                 1.5664,                 1.2738,                 0.9576,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5696,                 1.3202,                0.97057,                0.30657,                0.23836,                0.21743,                0.12217,                 1.5564,                  1.262,                0.95349,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.5421,                 1.2698,                0.96469,                0.32777,                0.25176,                0.22626,                0.12598,                 1.5343,                 1.2172,                0.95436,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.5201,                 1.2339,                0.95786,                0.32427,                0.25667,                0.23299,                0.13318,                 1.4921,                 1.1727,                 0.9456,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.5051,                 1.2013,                0.95429,                0.33338,                0.26114,                0.23833,                0.13539,                 1.5001,                 1.1661,                0.94733,              0.0002192,              0.0002192,              0.0002192
                      9,                  1.483,                 1.1709,                0.94764,                0.34951,                0.26245,                0.24654,                0.14164,                 1.4639,                 1.1339,                0.93384,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.4748,                  1.154,                0.94368,                0.36073,                 0.2629,                0.25241,                0.14515,                 1.4529,                 1.1216,                0.93308,             7.7826e-05,             7.7826e-05,             7.7826e-05
